ID,Title,Category,Release_Date,Rating,Duration,Country,Data_Quality_Notes
1009,Titanic,Film,2018-07-20,R,2 Seasons,Uk,Invalid date format
1010,Unknown Title,Movie,2019-01-01,PG,120 min,Unknown,"Cleaned missing values, standardized text & formats"
1011,Interstellar,Unknown,,NR,120 min,India,"Cleaned missing values, standardized text & formats"
1012,Interstellar,Tv Show,2019-01-01,PG,90 min,India,Invalid date format
1013,The Dark Knight,Tv Show,2018-07-20,PG,,Uk,"Cleaned missing values, standardized text & formats"
1014,Avatar,Movie,,PG,90 min,India,"Cleaned missing values, standardized text & formats"
1015,Interstellar,Movie,,NR,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
1016,The Dark Knight,Unknown,,PG,2 Seasons,United States,"Cleaned missing values, standardized text & formats"
1017,Inception,Unknown,,PG,120 min,Unknown,"Cleaned missing values, standardized text & formats"
1018,Avatar,Tv Show,,NOT RATED,,India,"Cleaned missing values, standardized text & formats"
1019,Unknown Title,Movie,,PG,,India,"Cleaned missing values, standardized text & formats"
1020,Interstellar,Movie,,NR,120 min,United States,"Cleaned missing values, standardized text & formats"
1021,Jaws,Unknown,,R,90 min,India,"Cleaned missing values, standardized text & formats"
1022,The Matrix,Unknown,,PG,,India,"Cleaned missing values, standardized text & formats"
1023,Inception,Film,2019-01-01,NOT RATED,90 min,India,Invalid date format
1024,Inception,Film,2019-01-01,PG-13,120 min,Unknown,"Cleaned missing values, standardized text & formats"
1025,Unknown Title,Film,,NOT RATED,90 min,India,"Cleaned missing values, standardized text & formats"
1026,The Dark Knight,Movie,,PG,2 Seasons,India,"Cleaned missing values, standardized text & formats"
1027,Inception,Tv Show,2018-07-20,PG-13,120 min,U.S.A,Invalid date format
1028,Avatar,Tv Show,,NR,120 min,India,"Cleaned missing values, standardized text & formats"
1029,Interstellar,Film,,NOT RATED,,Unknown,"Cleaned missing values, standardized text & formats"
1030,Interstellar,Tv Show,,R,,U.S.A,"Cleaned missing values, standardized text & formats"
1031,Jaws,Movie,,PG-13,,U.S.A,"Cleaned missing values, standardized text & formats"
1032,Unknown Title,Film,,PG-13,2 Seasons,United States,"Cleaned missing values, standardized text & formats"
1033,The Matrix,Tv Show,2019-01-01,NOT RATED,2 Seasons,India,Invalid date format
1034,The Dark Knight,Movie,2019-01-01,PG,1 Season,U.S.A,Country naming inconsistent
1035,The Matrix,Movie,2018-07-20,PG-13,120 min,Uk,Rating values inconsistent
1036,Inception,Tv Show,2018-07-20,NR,,U.S.A,"Cleaned missing values, standardized text & formats"
1037,Unknown Title,Film,2018-07-20,NOT RATED,120 min,Uk,"Cleaned missing values, standardized text & formats"
1038,Jaws,Movie,2018-07-20,NR,90 min,United States,Data looks clean
1039,The Matrix,Tv Show,,NOT RATED,2 Seasons,Uk,"Cleaned missing values, standardized text & formats"
1040,Avatar,Tv Show,,NR,1 Season,United States,"Cleaned missing values, standardized text & formats"
1041,Interstellar,Tv Show,2019-01-01,PG,90 min,United States,Invalid date format
1042,Inception,Movie,,NOT RATED,120 min,United States,"Cleaned missing values, standardized text & formats"
1043,Jaws,Tv Show,,R,2 Seasons,Uk,"Cleaned missing values, standardized text & formats"
1044,The Matrix,Movie,,PG,,Uk,"Cleaned missing values, standardized text & formats"
1045,The Dark Knight,Film,,NR,90 min,United States,"Cleaned missing values, standardized text & formats"
1046,Avatar,Film,2018-07-20,NOT RATED,2 Seasons,United States,Invalid date format
1047,Avatar,Tv Show,2018-07-20,PG,120 min,India,Data looks clean
1048,The Matrix,Tv Show,,NR,120 min,United States,"Cleaned missing values, standardized text & formats"
1049,Interstellar,Movie,,PG,90 min,India,"Cleaned missing values, standardized text & formats"
1050,The Matrix,Film,2018-07-20,PG,90 min,India,Invalid date format
1051,Inception,Unknown,,PG-13,90 min,India,"Cleaned missing values, standardized text & formats"
1052,The Matrix,Film,,R,1 Season,India,"Cleaned missing values, standardized text & formats"
1053,Avatar,Tv Show,,PG,,India,"Cleaned missing values, standardized text & formats"
1054,Jaws,Unknown,,NR,2 Seasons,India,"Cleaned missing values, standardized text & formats"
1055,The Matrix,Tv Show,,PG,120 min,India,"Cleaned missing values, standardized text & formats"
1056,Interstellar,Movie,2018-07-20,NOT RATED,120 min,Uk,Invalid date format
1057,Unknown Title,Tv Show,2019-01-01,PG,,Unknown,"Cleaned missing values, standardized text & formats"
1058,Jaws,Tv Show,,PG-13,90 min,Uk,"Cleaned missing values, standardized text & formats"
1059,The Dark Knight,Movie,,PG,90 min,United States,"Cleaned missing values, standardized text & formats"
1060,Titanic,Movie,,PG,120 min,United States,"Cleaned missing values, standardized text & formats"
1061,The Matrix,Film,,PG,,U.S.A,"Cleaned missing values, standardized text & formats"
1062,Interstellar,Film,2019-01-01,PG,120 min,Unknown,"Cleaned missing values, standardized text & formats"
1063,Jaws,Movie,,PG,90 min,India,"Cleaned missing values, standardized text & formats"
1064,Interstellar,Unknown,2018-07-20,R,2 Seasons,Uk,"Cleaned missing values, standardized text & formats"
1065,The Dark Knight,Movie,2019-01-01,PG-13,90 min,United States,Rating values inconsistent
1066,Avatar,Film,,NR,2 Seasons,India,"Cleaned missing values, standardized text & formats"
1067,Interstellar,Movie,2019-01-01,PG,1 Season,India,Invalid date format
1068,Jaws,Unknown,2019-01-01,NOT RATED,,India,"Cleaned missing values, standardized text & formats"
1069,Interstellar,Movie,2019-01-01,PG-13,1 Season,Uk,Country naming inconsistent
1070,Interstellar,Unknown,,NR,90 min,Unknown,"Cleaned missing values, standardized text & formats"
1071,Interstellar,Film,,NOT RATED,,U.S.A,"Cleaned missing values, standardized text & formats"
1072,Inception,Tv Show,2018-07-20,PG,90 min,Uk,Invalid date format
1073,Inception,Movie,,PG-13,,Unknown,"Cleaned missing values, standardized text & formats"
1074,Avatar,Tv Show,,NOT RATED,,United States,"Cleaned missing values, standardized text & formats"
1075,The Matrix,Movie,,PG-13,90 min,United States,"Cleaned missing values, standardized text & formats"
1076,Interstellar,Unknown,,PG-13,90 min,India,"Cleaned missing values, standardized text & formats"
1077,The Dark Knight,Movie,2019-01-01,PG,,Uk,"Cleaned missing values, standardized text & formats"
1078,The Matrix,Unknown,2019-01-01,PG,,United States,"Cleaned missing values, standardized text & formats"
1079,The Dark Knight,Movie,,PG-13,90 min,India,"Cleaned missing values, standardized text & formats"
1080,The Matrix,Film,,NOT RATED,90 min,India,"Cleaned missing values, standardized text & formats"
1081,Avatar,Film,,R,120 min,U.S.A,"Cleaned missing values, standardized text & formats"
1082,Interstellar,Film,2018-07-20,PG,120 min,India,Invalid date format
1083,Interstellar,Unknown,2019-01-01,PG,120 min,United States,"Cleaned missing values, standardized text & formats"
1084,Titanic,Tv Show,2018-07-20,R,1 Season,U.S.A,Rating values inconsistent
1085,The Dark Knight,Film,,PG,,India,"Cleaned missing values, standardized text & formats"
1086,The Matrix,Movie,2019-01-01,PG-13,2 Seasons,U.S.A,Invalid date format
1087,The Matrix,Film,2018-07-20,R,1 Season,U.S.A,Country naming inconsistent
1088,Unknown Title,Tv Show,,NOT RATED,,United States,"Cleaned missing values, standardized text & formats"
1089,Unknown Title,Film,2018-07-20,NOT RATED,2 Seasons,United States,"Cleaned missing values, standardized text & formats"
1090,Inception,Unknown,,NR,120 min,United States,"Cleaned missing values, standardized text & formats"
1091,Titanic,Tv Show,,PG,2 Seasons,India,"Cleaned missing values, standardized text & formats"
1092,Jaws,Tv Show,2019-01-01,PG,90 min,U.S.A,Invalid date format
1093,Unknown Title,Unknown,,PG,90 min,U.S.A,"Cleaned missing values, standardized text & formats"
1094,Jaws,Unknown,,PG,,India,"Cleaned missing values, standardized text & formats"
1095,Inception,Unknown,,NR,1 Season,India,"Cleaned missing values, standardized text & formats"
1096,Inception,Movie,2019-01-01,NOT RATED,120 min,Uk,Invalid date format
1097,Inception,Unknown,,R,,India,"Cleaned missing values, standardized text & formats"
1098,The Dark Knight,Movie,,R,120 min,India,"Cleaned missing values, standardized text & formats"
1099,The Dark Knight,Unknown,,NOT RATED,90 min,U.S.A,"Cleaned missing values, standardized text & formats"
1100,Avatar,Movie,,PG-13,1 Season,U.S.A,"Cleaned missing values, standardized text & formats"
1101,Avatar,Tv Show,2018-07-20,NOT RATED,1 Season,United States,Invalid date format
1102,Inception,Movie,2019-01-01,R,90 min,United States,Data looks clean
1103,Titanic,Unknown,,PG,2 Seasons,U.S.A,"Cleaned missing values, standardized text & formats"
1104,The Matrix,Tv Show,,NR,1 Season,U.S.A,"Cleaned missing values, standardized text & formats"
1105,The Dark Knight,Tv Show,,NOT RATED,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
1106,Titanic,Tv Show,,PG-13,120 min,United States,"Cleaned missing values, standardized text & formats"
1107,Interstellar,Movie,,PG,1 Season,United States,"Cleaned missing values, standardized text & formats"
1108,The Dark Knight,Tv Show,2019-01-01,NOT RATED,90 min,India,Invalid date format
1109,The Dark Knight,Tv Show,,PG,2 Seasons,U.S.A,"Cleaned missing values, standardized text & formats"
1110,Avatar,Movie,,NOT RATED,120 min,U.S.A,"Cleaned missing values, standardized text & formats"
1111,The Matrix,Tv Show,,PG,120 min,India,"Cleaned missing values, standardized text & formats"
1112,The Matrix,Tv Show,2018-07-20,PG,1 Season,India,Invalid date format
1113,Unknown Title,Movie,,PG,1 Season,Uk,"Cleaned missing values, standardized text & formats"
1114,Jaws,Unknown,2019-01-01,PG,,Uk,"Cleaned missing values, standardized text & formats"
1115,Jaws,Unknown,,R,,Uk,"Cleaned missing values, standardized text & formats"
1116,Jaws,Movie,2018-07-20,PG,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
1117,Jaws,Unknown,2019-01-01,PG,,United States,"Cleaned missing values, standardized text & formats"
1118,Interstellar,Unknown,,NR,90 min,Uk,"Cleaned missing values, standardized text & formats"
1119,Interstellar,Tv Show,2018-07-20,NR,90 min,India,Invalid date format
1120,The Dark Knight,Movie,2019-01-01,R,,United States,"Cleaned missing values, standardized text & formats"
1121,Inception,Film,,PG,1 Season,United States,"Cleaned missing values, standardized text & formats"
1122,Avatar,Movie,,PG,90 min,Uk,"Cleaned missing values, standardized text & formats"
1123,Avatar,Movie,2019-01-01,NR,120 min,United States,Invalid date format
1124,Jaws,Unknown,,NOT RATED,1 Season,India,"Cleaned missing values, standardized text & formats"
1125,The Dark Knight,Movie,,PG-13,2 Seasons,India,"Cleaned missing values, standardized text & formats"
1126,Unknown Title,Movie,2019-01-01,PG,2 Seasons,Uk,"Cleaned missing values, standardized text & formats"
1127,Titanic,Movie,,NOT RATED,1 Season,India,"Cleaned missing values, standardized text & formats"
1128,Inception,Tv Show,2018-07-20,NOT RATED,,United States,"Cleaned missing values, standardized text & formats"
1129,The Dark Knight,Tv Show,2019-01-01,PG,90 min,U.S.A,Data looks clean
1130,Inception,Movie,,PG-13,90 min,Uk,"Cleaned missing values, standardized text & formats"
1131,Inception,Film,2019-01-01,NR,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
1132,Inception,Tv Show,,PG-13,120 min,United States,"Cleaned missing values, standardized text & formats"
1133,The Dark Knight,Tv Show,2019-01-01,R,,Uk,"Cleaned missing values, standardized text & formats"
1134,Jaws,Movie,,PG,120 min,Uk,"Cleaned missing values, standardized text & formats"
1135,Avatar,Film,2019-01-01,PG,1 Season,India,Invalid date format
1136,Avatar,Unknown,2018-07-20,NOT RATED,1 Season,U.S.A,"Cleaned missing values, standardized text & formats"
1137,Jaws,Movie,2019-01-01,NR,120 min,United States,Country naming inconsistent
1138,Inception,Tv Show,,PG-13,2 Seasons,Uk,"Cleaned missing values, standardized text & formats"
1139,Titanic,Film,2019-01-01,NOT RATED,1 Season,Uk,Invalid date format
1140,The Matrix,Film,,PG,,United States,"Cleaned missing values, standardized text & formats"
1141,The Dark Knight,Movie,,NOT RATED,120 min,Uk,"Cleaned missing values, standardized text & formats"
1142,The Matrix,Film,2019-01-01,PG,2 Seasons,Uk,Invalid date format
1143,Unknown Title,Film,2019-01-01,PG,120 min,Uk,"Cleaned missing values, standardized text & formats"
1144,Jaws,Film,2018-07-20,R,2 Seasons,India,Rating values inconsistent
1145,Titanic,Tv Show,,R,2 Seasons,India,"Cleaned missing values, standardized text & formats"
1146,The Dark Knight,Movie,,PG,,U.S.A,"Cleaned missing values, standardized text & formats"
1147,Jaws,Film,,NR,1 Season,India,"Cleaned missing values, standardized text & formats"
1148,Inception,Film,2019-01-01,R,2 Seasons,United States,Invalid date format
1149,Avatar,Tv Show,,R,1 Season,India,"Cleaned missing values, standardized text & formats"
1150,The Matrix,Movie,,PG,,India,"Cleaned missing values, standardized text & formats"
1151,Interstellar,Movie,,NOT RATED,1 Season,India,"Cleaned missing values, standardized text & formats"
1152,Interstellar,Tv Show,,PG,90 min,U.S.A,"Cleaned missing values, standardized text & formats"
1153,Titanic,Movie,,NR,2 Seasons,India,"Cleaned missing values, standardized text & formats"
1154,Inception,Film,,R,,India,"Cleaned missing values, standardized text & formats"
1155,Unknown Title,Movie,,R,120 min,Uk,"Cleaned missing values, standardized text & formats"
1156,The Matrix,Movie,,PG-13,,United States,"Cleaned missing values, standardized text & formats"
1157,Inception,Unknown,,NR,2 Seasons,U.S.A,"Cleaned missing values, standardized text & formats"
1158,The Matrix,Movie,,NOT RATED,,United States,"Cleaned missing values, standardized text & formats"
1159,Titanic,Movie,,NOT RATED,120 min,India,"Cleaned missing values, standardized text & formats"
1160,Titanic,Movie,2018-07-20,NOT RATED,90 min,India,Invalid date format
1161,Unknown Title,Movie,,NR,2 Seasons,India,"Cleaned missing values, standardized text & formats"
1162,Interstellar,Film,,PG-13,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
1163,Inception,Movie,,PG-13,,United States,"Cleaned missing values, standardized text & formats"
1164,The Dark Knight,Film,,PG,1 Season,India,"Cleaned missing values, standardized text & formats"
1165,Interstellar,Film,,NR,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
1166,Inception,Movie,,NR,120 min,Unknown,"Cleaned missing values, standardized text & formats"
1167,Interstellar,Tv Show,,PG-13,90 min,Uk,"Cleaned missing values, standardized text & formats"
1168,The Dark Knight,Tv Show,2019-01-01,PG,90 min,Unknown,"Cleaned missing values, standardized text & formats"
1169,Avatar,Movie,,PG,,Unknown,"Cleaned missing values, standardized text & formats"
1170,Avatar,Unknown,2019-01-01,PG,,Uk,"Cleaned missing values, standardized text & formats"
1171,Unknown Title,Tv Show,,PG,1 Season,India,"Cleaned missing values, standardized text & formats"
1172,Avatar,Movie,,PG,90 min,India,"Cleaned missing values, standardized text & formats"
1173,Avatar,Movie,,PG,90 min,U.S.A,"Cleaned missing values, standardized text & formats"
1174,Jaws,Film,,R,90 min,Unknown,"Cleaned missing values, standardized text & formats"
1175,The Matrix,Movie,,PG,120 min,United States,"Cleaned missing values, standardized text & formats"
1176,Jaws,Unknown,2019-01-01,PG-13,120 min,India,"Cleaned missing values, standardized text & formats"
1177,Jaws,Movie,,PG,,India,"Cleaned missing values, standardized text & formats"
1178,Unknown Title,Movie,,NOT RATED,1 Season,United States,"Cleaned missing values, standardized text & formats"
1179,Jaws,Tv Show,2019-01-01,R,2 Seasons,U.S.A,Invalid date format
1180,Avatar,Movie,,PG,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
1181,The Dark Knight,Unknown,,R,120 min,Uk,"Cleaned missing values, standardized text & formats"
1182,Unknown Title,Movie,,PG,120 min,U.S.A,"Cleaned missing values, standardized text & formats"
1183,Unknown Title,Unknown,,NOT RATED,,United States,"Cleaned missing values, standardized text & formats"
1184,Titanic,Film,2019-01-01,NOT RATED,2 Seasons,Uk,Invalid date format
1185,Unknown Title,Movie,,NOT RATED,90 min,India,"Cleaned missing values, standardized text & formats"
1186,Titanic,Movie,2019-01-01,PG,2 Seasons,Uk,Invalid date format
1187,Unknown Title,Tv Show,,R,2 Seasons,Uk,"Cleaned missing values, standardized text & formats"
1188,The Matrix,Movie,2019-01-01,NOT RATED,2 Seasons,India,Invalid date format
1189,Avatar,Film,,NR,,India,"Cleaned missing values, standardized text & formats"
1190,Unknown Title,Movie,,NR,120 min,India,"Cleaned missing values, standardized text & formats"
1191,Avatar,Movie,2018-07-20,R,90 min,Uk,Invalid date format
1192,Avatar,Film,2019-01-01,PG,2 Seasons,Uk,Rating values inconsistent
1193,Interstellar,Unknown,2019-01-01,PG,90 min,U.S.A,"Cleaned missing values, standardized text & formats"
1194,Unknown Title,Unknown,,PG,2 Seasons,India,"Cleaned missing values, standardized text & formats"
1195,Inception,Movie,,PG,120 min,India,"Cleaned missing values, standardized text & formats"
1196,Interstellar,Tv Show,2018-07-20,NOT RATED,90 min,Unknown,"Cleaned missing values, standardized text & formats"
1197,Inception,Movie,,PG-13,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
1198,Avatar,Tv Show,,PG,120 min,Uk,"Cleaned missing values, standardized text & formats"
1199,Avatar,Unknown,2018-07-20,PG,90 min,Uk,"Cleaned missing values, standardized text & formats"
1200,Interstellar,Unknown,,PG-13,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
1201,Interstellar,Tv Show,2018-07-20,PG,2 Seasons,U.S.A,Invalid date format
1202,Inception,Movie,2019-01-01,R,120 min,U.S.A,Rating values inconsistent
1203,Titanic,Tv Show,2019-01-01,NR,120 min,U.S.A,Rating values inconsistent
1204,Inception,Tv Show,,PG,2 Seasons,United States,"Cleaned missing values, standardized text & formats"
1205,Interstellar,Tv Show,,PG,90 min,India,"Cleaned missing values, standardized text & formats"
1206,The Dark Knight,Movie,,R,1 Season,United States,"Cleaned missing values, standardized text & formats"
1207,Interstellar,Movie,2018-07-20,PG,,Uk,"Cleaned missing values, standardized text & formats"
1208,The Dark Knight,Film,,NOT RATED,120 min,U.S.A,"Cleaned missing values, standardized text & formats"
1209,The Matrix,Tv Show,,R,2 Seasons,U.S.A,"Cleaned missing values, standardized text & formats"
1210,Interstellar,Tv Show,2019-01-01,NOT RATED,90 min,Unknown,"Cleaned missing values, standardized text & formats"
1211,The Matrix,Film,2018-07-20,PG,120 min,Unknown,"Cleaned missing values, standardized text & formats"
1212,Titanic,Film,,PG,90 min,U.S.A,"Cleaned missing values, standardized text & formats"
1213,Inception,Unknown,2019-01-01,PG-13,120 min,India,"Cleaned missing values, standardized text & formats"
1214,The Dark Knight,Tv Show,,PG,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
1215,Inception,Film,,R,90 min,India,"Cleaned missing values, standardized text & formats"
1216,The Matrix,Movie,2019-01-01,PG-13,2 Seasons,United States,Invalid date format
1217,The Dark Knight,Tv Show,,NR,90 min,India,"Cleaned missing values, standardized text & formats"
1218,Inception,Film,,PG-13,120 min,Unknown,"Cleaned missing values, standardized text & formats"
1219,Interstellar,Movie,,R,,U.S.A,"Cleaned missing values, standardized text & formats"
1220,Avatar,Movie,2019-01-01,PG-13,,Uk,"Cleaned missing values, standardized text & formats"
1221,The Matrix,Movie,2018-07-20,R,1 Season,India,Data looks clean
1222,Inception,Unknown,2019-01-01,PG,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
1223,The Matrix,Unknown,,PG,2 Seasons,India,"Cleaned missing values, standardized text & formats"
1224,Jaws,Movie,,NR,90 min,Uk,"Cleaned missing values, standardized text & formats"
1225,The Matrix,Unknown,,PG,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
1226,The Dark Knight,Tv Show,2018-07-20,PG,120 min,U.S.A,Invalid date format
1227,Jaws,Movie,,PG,,U.S.A,"Cleaned missing values, standardized text & formats"
1228,Unknown Title,Tv Show,,R,90 min,U.S.A,"Cleaned missing values, standardized text & formats"
1229,The Dark Knight,Tv Show,,R,,U.S.A,"Cleaned missing values, standardized text & formats"
1230,Avatar,Movie,,NR,90 min,Unknown,"Cleaned missing values, standardized text & formats"
1231,Jaws,Tv Show,,R,1 Season,India,"Cleaned missing values, standardized text & formats"
1232,Unknown Title,Movie,,NOT RATED,1 Season,India,"Cleaned missing values, standardized text & formats"
1233,Interstellar,Movie,2019-01-01,R,2 Seasons,India,Invalid date format
1234,The Matrix,Unknown,,R,90 min,Unknown,"Cleaned missing values, standardized text & formats"
1235,Inception,Movie,,R,120 min,U.S.A,"Cleaned missing values, standardized text & formats"
1236,Titanic,Tv Show,,PG,1 Season,India,"Cleaned missing values, standardized text & formats"
1237,The Matrix,Unknown,,NR,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
1238,Unknown Title,Movie,,NOT RATED,1 Season,Uk,"Cleaned missing values, standardized text & formats"
1239,The Matrix,Movie,,R,,India,"Cleaned missing values, standardized text & formats"
1240,Avatar,Tv Show,,NR,1 Season,India,"Cleaned missing values, standardized text & formats"
1241,Interstellar,Tv Show,,PG-13,90 min,India,"Cleaned missing values, standardized text & formats"
1242,Titanic,Tv Show,2018-07-20,PG,2 Seasons,India,Invalid date format
1243,Jaws,Film,2018-07-20,R,90 min,Uk,Rating values inconsistent
1244,Jaws,Movie,2018-07-20,NOT RATED,120 min,U.S.A,Rating values inconsistent
1245,Jaws,Tv Show,,PG,120 min,United States,"Cleaned missing values, standardized text & formats"
1246,Unknown Title,Movie,2018-07-20,NOT RATED,1 Season,India,"Cleaned missing values, standardized text & formats"
1247,The Dark Knight,Tv Show,,PG,2 Seasons,Uk,"Cleaned missing values, standardized text & formats"
1248,The Dark Knight,Tv Show,,PG-13,2 Seasons,India,"Cleaned missing values, standardized text & formats"
1249,Inception,Film,,NR,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
1250,Titanic,Film,,PG,2 Seasons,U.S.A,"Cleaned missing values, standardized text & formats"
1251,Jaws,Unknown,2019-01-01,PG,1 Season,India,"Cleaned missing values, standardized text & formats"
1252,The Dark Knight,Tv Show,,PG-13,90 min,Unknown,"Cleaned missing values, standardized text & formats"
1253,Unknown Title,Tv Show,,PG,1 Season,India,"Cleaned missing values, standardized text & formats"
1254,Inception,Movie,,PG-13,90 min,Uk,"Cleaned missing values, standardized text & formats"
1255,Interstellar,Movie,,PG,,U.S.A,"Cleaned missing values, standardized text & formats"
1256,Inception,Film,2019-01-01,PG,,United States,"Cleaned missing values, standardized text & formats"
1257,The Dark Knight,Movie,2018-07-20,NOT RATED,90 min,United States,Rating values inconsistent
1258,Avatar,Tv Show,,PG,1 Season,India,"Cleaned missing values, standardized text & formats"
1259,Unknown Title,Film,,PG,120 min,Unknown,"Cleaned missing values, standardized text & formats"
1260,Avatar,Movie,,PG-13,1 Season,U.S.A,"Cleaned missing values, standardized text & formats"
1261,Jaws,Tv Show,,NR,120 min,U.S.A,"Cleaned missing values, standardized text & formats"
1262,Avatar,Movie,,NOT RATED,1 Season,Uk,"Cleaned missing values, standardized text & formats"
1263,Jaws,Tv Show,,PG,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
1264,Jaws,Unknown,2019-01-01,PG,2 Seasons,United States,"Cleaned missing values, standardized text & formats"
1265,The Dark Knight,Film,2018-07-20,NOT RATED,,Uk,"Cleaned missing values, standardized text & formats"
1266,Avatar,Tv Show,,R,,India,"Cleaned missing values, standardized text & formats"
1267,Jaws,Movie,2018-07-20,NOT RATED,90 min,U.S.A,Invalid date format
1268,Titanic,Movie,2019-01-01,PG,120 min,United States,Country naming inconsistent
1269,Interstellar,Film,,NR,2 Seasons,Uk,"Cleaned missing values, standardized text & formats"
1270,Inception,Tv Show,2018-07-20,R,1 Season,India,Invalid date format
1271,Inception,Tv Show,2019-01-01,PG,90 min,India,Rating values inconsistent
1272,The Dark Knight,Tv Show,2018-07-20,NOT RATED,1 Season,Uk,Rating values inconsistent
1273,Avatar,Film,,PG,2 Seasons,India,"Cleaned missing values, standardized text & formats"
1274,Avatar,Film,2019-01-01,R,2 Seasons,United States,Invalid date format
1275,Jaws,Unknown,2018-07-20,R,2 Seasons,United States,"Cleaned missing values, standardized text & formats"
1276,Unknown Title,Unknown,,R,2 Seasons,India,"Cleaned missing values, standardized text & formats"
1277,The Matrix,Tv Show,,PG-13,1 Season,India,"Cleaned missing values, standardized text & formats"
1278,Jaws,Tv Show,2019-01-01,NOT RATED,90 min,U.S.A,Invalid date format
1279,Interstellar,Tv Show,,NR,2 Seasons,United States,"Cleaned missing values, standardized text & formats"
1280,Titanic,Film,,NR,,Unknown,"Cleaned missing values, standardized text & formats"
1281,Inception,Film,2019-01-01,PG,90 min,U.S.A,Invalid date format
1282,Jaws,Movie,,PG,,U.S.A,"Cleaned missing values, standardized text & formats"
1283,The Matrix,Unknown,,PG,1 Season,Uk,"Cleaned missing values, standardized text & formats"
1284,The Matrix,Movie,2019-01-01,NOT RATED,2 Seasons,Uk,Invalid date format
1285,Jaws,Movie,,PG,90 min,United States,"Cleaned missing values, standardized text & formats"
1286,The Dark Knight,Film,,PG,2 Seasons,U.S.A,"Cleaned missing values, standardized text & formats"
1287,Inception,Movie,2018-07-20,R,2 Seasons,Uk,Invalid date format
1288,The Dark Knight,Tv Show,2019-01-01,PG,90 min,India,Rating values inconsistent
1289,Titanic,Unknown,,R,2 Seasons,India,"Cleaned missing values, standardized text & formats"
1290,The Matrix,Unknown,,PG-13,2 Seasons,India,"Cleaned missing values, standardized text & formats"
1291,The Matrix,Tv Show,,PG,120 min,India,"Cleaned missing values, standardized text & formats"
1292,Interstellar,Tv Show,2018-07-20,PG,120 min,U.S.A,Invalid date format
1293,Titanic,Tv Show,2019-01-01,NOT RATED,90 min,India,Rating values inconsistent
1294,The Matrix,Movie,,NOT RATED,90 min,U.S.A,"Cleaned missing values, standardized text & formats"
1295,Titanic,Movie,,NR,2 Seasons,United States,"Cleaned missing values, standardized text & formats"
1296,Inception,Tv Show,,PG-13,,United States,"Cleaned missing values, standardized text & formats"
1297,Avatar,Tv Show,,NOT RATED,90 min,India,"Cleaned missing values, standardized text & formats"
1298,The Matrix,Tv Show,2019-01-01,R,2 Seasons,India,Invalid date format
1299,Interstellar,Tv Show,2019-01-01,PG-13,,India,"Cleaned missing values, standardized text & formats"
1300,Inception,Movie,2019-01-01,PG,120 min,United States,Country naming inconsistent
1301,Jaws,Tv Show,,R,90 min,Uk,"Cleaned missing values, standardized text & formats"
1302,Titanic,Tv Show,,PG-13,2 Seasons,United States,"Cleaned missing values, standardized text & formats"
1303,Jaws,Unknown,2018-07-20,PG,120 min,India,"Cleaned missing values, standardized text & formats"
1304,The Dark Knight,Movie,,NOT RATED,1 Season,Uk,"Cleaned missing values, standardized text & formats"
1305,Inception,Unknown,2018-07-20,R,120 min,Uk,"Cleaned missing values, standardized text & formats"
1306,Jaws,Unknown,,R,2 Seasons,India,"Cleaned missing values, standardized text & formats"
1307,Unknown Title,Movie,,PG,,U.S.A,"Cleaned missing values, standardized text & formats"
1308,Unknown Title,Movie,2019-01-01,R,1 Season,India,"Cleaned missing values, standardized text & formats"
1309,The Matrix,Unknown,2018-07-20,NOT RATED,1 Season,U.S.A,"Cleaned missing values, standardized text & formats"
1310,Titanic,Movie,,NOT RATED,1 Season,India,"Cleaned missing values, standardized text & formats"
1311,Avatar,Unknown,2018-07-20,NOT RATED,90 min,U.S.A,"Cleaned missing values, standardized text & formats"
1312,Inception,Film,,PG,2 Seasons,India,"Cleaned missing values, standardized text & formats"
1313,The Matrix,Movie,2019-01-01,PG,1 Season,India,Invalid date format
1314,Interstellar,Unknown,2018-07-20,PG,120 min,U.S.A,"Cleaned missing values, standardized text & formats"
1315,The Dark Knight,Film,,R,,United States,"Cleaned missing values, standardized text & formats"
1316,Titanic,Tv Show,,NOT RATED,2 Seasons,Uk,"Cleaned missing values, standardized text & formats"
1317,Inception,Film,,R,120 min,India,"Cleaned missing values, standardized text & formats"
1318,Unknown Title,Tv Show,,PG,90 min,United States,"Cleaned missing values, standardized text & formats"
1319,Inception,Unknown,2019-01-01,R,1 Season,India,"Cleaned missing values, standardized text & formats"
